id,day,author,problem,language, ac,len,word,source,token
23413326,2016-12-30 08:52:00,r.mustapha.amine,4A - Watermelon,Python 3,Accepted,1,16,"print ( ""YNEOS"" [ 2 ** int ( input ())% 24 < 9 :: 2 ])",kwd pun str pun lit pun pln pun pln pun lit pun lit pun lit pun
26184141,2017-04-07 07:56:00,leela,1A - Theatre Square,Python 3,Accepted,2,24,"n , m , a = map ( int , input (). split ()) print (- n // a *(- m // a ))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun
47494714,2018-12-25 17:19:00,vjudge1,71A - Way Too Long Words,Python 3,Accepted,2,43,"for  _  in   [ 0 ]* int ( input ()):     s = input (); l = len ( s )- 2 ; print ([ s , s [ 0 ]+ str ( l )+ s [- 1 ]][ l > 8 ])",kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun lit pun pln pun pln pun pln pun lit pun pln pun lit pun
43921567,2018-10-07 03:20:00,Cathos,158A - Next Round,Python 3,Accepted,1,45,"i = lambda : map ( int , input (). split ()); n , k = i (); l = list ( i ()); print ( sum ( v >= max ( 1 , l [ k - 1 ]) for  v  in  l ))",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun kwd pln kwd pln pun
39424617,2018-06-20 05:22:00,yachi,118A - String Task,Python 3,Accepted,1,24,print ( '' . join ( '.' + x  for  x  in  input (). lower ()   if  x  not   in 'aeyoui' )),kwd pun str pun pln pun str pun pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln kwd str pun
75557360,2020-04-05 13:23:00,lahari21,231A - Team,Python 3,Accepted,1,21,print ( sum ( input (). count ( '1' )> 1for  x  in   [ 0 ]* int ( input ()))),kwd pun pln pun pln pun pln pun str pun lit pln kwd pln pun lit pun pln pun pln pun
11324563,2015-05-27 21:53:00,SerVasilich,50A - Domino piling,Python 3,Accepted,1,14,print ( eval ( '*' . join ( input (). split ()))// 2 ),kwd pun pln pun str pun pln pun pln pun pln pun lit pun
43949206,2018-10-07 18:21:00,Cathos,282A - Bit++,Python 3,Accepted,1,22,print ( sum ( 44 - ord ( input ()[ 1 ]) for  i  in [ 0 ]* int ( input ()))),kwd pun pln pun lit pun pln pun pln pun lit pun kwd pln kwd pun lit pun pln pun pln pun
30334700,2017-09-14 20:17:00,winstontsai,112A - Petya and Strings,Python 3,Accepted,2,26,i = input ; a = i (). lower (); b = i (). lower () print (( a > b )-( a < b )),pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun
64797808,2019-11-13 16:30:00,virajudaysingh,263A - Beautiful Matrix,Python 3,Accepted,4,41,"l =[ 2 , 1 , 0 , 1 , 2 ] for  i  in  l :  s = input ()   if ""1"" in  s : print ( i + l [ s . find ( ""1"" )// 2 ])",pln pun lit pun lit pun lit pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun pln kwd str kwd pln pun kwd pun pln pun pln pun pln pun pln pun str pun lit pun
